setting,n,loc_top1_rate,repair_bmc_rate,PASS,FAIL,tokens,cost
A,102,0.471,1.000,76,26,1992309,2.7765
B,102,0.618,1.000,76,26,1763620,2.7162
C,102,0.569,1.000,76,26,3504305,4.1741
D,102,0.490,1.000,102,0,1069606,1.5554
